"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"1000000000","1111111111","1111111111","1111111111",0.098468,0.001,0.001081,0.001079,2e-06,0.0,0.0,"⎛ F ⎞⎛  A,B,C,D,E,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
1,"1000000000","1111111111","1111111111","0111011101",0.002864,0.000876,0.00092,0.00092,0.0,0.0,0.0,"⎛ I ⎞⎛ A,B,C,D,E,F,G,H,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
2,"1000000000","1111111111","1111111111","0101010101",0.009393,0.000845,0.000902,0.0,0.000902,0.0,0.0,"⎛ C ⎞⎛ A,B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
3,"1000000000","1111111111","1111111111","1010101010",0.000291,0.000724,0.000762,0.000762,0.0,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
4,"1000000000","1111111111","0111011101","1111111111",0.098468,0.000685,0.000736,0.00073,6e-06,0.0,0.0,"⎛ F ⎞⎛     B,C,D,G,H,J     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
5,"1000000000","1111111111","0111011101","0111011101",0.009781,0.000855,0.000903,0.000903,0.0,0.0,0.0,"⎛ G ⎞⎛  B,C,D,F,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
6,"1000000000","1111111111","0111011101","0101010101",0.009393,0.000731,0.000782,0.000774,8e-06,0.0,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
7,"1000000000","1111111111","0111011101","1010101010",0.000291,0.000907,0.000984,0.000984,0.0,0.0,0.0,"⎛ D ⎞⎛ B,C,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
8,"1000000000","1111111111","0101010101","1111111111",0.098468,0.000731,0.000774,0.000774,0.0,0.0,0.0,"⎛ F ⎞⎛       B,D,H,J       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
9,"1000000000","1111111111","0101010101","0111011101",0.025099,0.000804,0.000903,0.000903,0.0,0.0,0.0,"⎛ B ⎞⎛    D,F,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
10,"1000000000","1111111111","0101010101","0101010101",0.032183,0.000907,0.001006,0.000995,1.1e-05,0.0,0.0,"⎛ B ⎞⎛  D,F,H,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
11,"1000000000","1111111111","0101010101","1010101010",0.000291,0.000695,0.000767,0.000767,0.0,0.0,0.0,"⎛ D ⎞⎛  B,F,H,J  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
12,"1000000000","1111111111","1010101010","1111111111",0.098864,0.000843,0.000917,0.000917,0.0,0.0,0.0,"⎛ A ⎞⎛       C,E,G,I       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
13,"1000000000","1111111111","1010101010","0111011101",0.002864,0.002859,0.002472,0.002453,1.9e-05,0.0,0.0,"⎛ I ⎞⎛    A,C,E,G    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
14,"1000000000","1111111111","1010101010","0101010101",0.009393,0.000808,0.000859,0.000859,0.0,0.0,0.0,"⎛ C ⎞⎛  A,E,G,I  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
15,"1000000000","1111111111","1010101010","1010101010",0.002625,0.000918,0.000961,0.000961,0.0,0.0,0.0,"⎛ C ⎞⎛  A,E,G,I  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
16,"1000000000","0111111111","1111111111","1111111111",0.116661,0.000989,0.001066,0.001065,1e-06,0.0,0.0,"⎛ B ⎞⎛  C,D,E,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
17,"1000000000","0111111111","1111111111","0111011101",0.00407,0.001073,0.001117,0.000118,0.000999,0.0,0.0,"⎛ E ⎞⎛ B,C,D,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝  B,C,D,F,G,H,J  ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
