"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"100","111","111","111",0.078677,0.001163,0.001211,0.001211,0.0,0.0,0.0,"⎛ B ⎞⎛  A,C  ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
1,"100","111","111","011",0.101493,0.001504,0.001517,0.001517,0.0,0.0,0.0,"⎛ B ⎞⎛ A,C ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
2,"100","111","111","010",0.070742,0.00265,0.002716,0.002716,0.0,0.0,0.0,"⎛ A ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝  B  ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
3,"100","111","111","101",0.010423,0.000944,0.000983,0.000983,0.0,0.0,0.0,"⎛ A ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
4,"100","111","011","111",0.078677,0.000861,0.000902,0.0,0.000902,0.0,0.0,"⎛ B ⎞⎛   C   ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
5,"100","111","011","011",0.091156,0.000802,0.000891,0.000891,0.0,0.0,0.0,"⎛ B ⎞⎛ C ⎞\n⎝ C ⎠⎝ B ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
6,"100","111","011","010",0.135513,0.000619,0.000686,0.000686,0.0,0.0,0.0,"⎛ B ⎞⎛ C ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
7,"100","111","011","101",0.034224,0.000904,0.000948,0.000948,0.0,0.0,0.0,"⎛ B ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
8,"100","111","010","111",0.022816,0.000774,0.000842,0.000842,0.0,0.0,0.0,"⎛ ∅ ⎞⎛  B  ⎞\n⎝ A ⎠⎝ B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
9,"100","111","010","011",0.013858,0.000654,0.000707,0.00068,2.7e-05,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
10,"100","111","010","010",0.135513,0.000569,0.000616,0.000615,1e-06,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ ∅ ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
11,"100","111","010","101",0.034224,0.001169,0.001174,0.001163,1.1e-05,0.0,0.0,"⎛ B ⎞⎛  ∅  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
12,"100","111","101","111",0.160238,0.000939,0.00098,0.00098,0.0,0.0,0.0,"⎛ A ⎞⎛   C   ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
13,"100","111","101","011",0.176454,0.000822,0.000825,0.0,0.000825,0.0,0.0,"⎛ A ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
14,"100","111","101","010",0.070742,0.000746,0.000799,0.000799,0.0,0.0,0.0,"⎛ A ⎞⎛ C ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
15,"100","111","101","101",0.010423,0.000813,0.000861,0.000861,0.0,0.0,0.0,"⎛ A ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
16,"100","011","111","111",0.194717,0.007006,0.007106,0.007106,0.0,0.0,0.0,"⎛ B ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
17,"100","011","111","011",0.194717,0.000672,0.000727,0.000727,0.0,0.0,0.0,"⎛ B ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
18,"100","011","111","010",0.009645,0.000945,0.001013,0.001013,0.0,0.0,0.0,"⎛ C ⎞⎛ B ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
19,"100","011","111","101",0.149415,0.000693,0.000742,0.000742,0.0,0.0,0.0,"⎛ C ⎞⎛ B ⎞\n⎝ ∅ ⎠⎝ C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
20,"100","011","011","111",0.194717,0.000707,0.000753,0.000753,0.0,0.0,0.0,"⎛ B ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
21,"100","011","011","011",0.194717,0.000617,0.000679,0.000673,6e-06,0.0,0.0,"⎛ B ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
22,"100","011","011","010",0.009645,0.000587,0.000674,0.000674,0.0,0.0,0.0,"⎛ C ⎞⎛ B ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
23,"100","011","011","101",0.149415,0.001586,0.00172,0.001704,1.6e-05,0.0,0.0,"⎛ C ⎞⎛ B ⎞\n⎝ ∅ ⎠⎝ C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
24,"100","011","010","111",0.044453,0.00068,0.000737,0.000737,0.0,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
25,"100","011","010","011",0.044453,0.000664,0.000691,0.000691,0.0,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ C ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
26,"100","011","010","010",0.079208,0.005966,0.006094,0.006094,0.0,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ ∅ ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
27,"100","011","010","101",0.150264,0.000516,0.00057,0.00057,0.0,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ C ⎠⎝ ∅ ⎠","Linux:13th Gen Intel(R) Core(TM) i7-13620H:15GB-RAM"
