"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"10000","11111","11111","11111",0.375,0.009951,0.010081,0.006137,0.003944,0.012,0.0,"⎛ E ⎞⎛  A,B,C,D  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"10000","11111","11111","01110",0.0,0.012928,0.013095,0.013065,3e-05,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ ∅ ⎠⎝  B,C,D  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"10000","11111","11111","01010",0.0,0.008756,0.008974,0.008948,2.6e-05,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ ∅ ⎠⎝   B,D   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"10000","11111","11111","10101",0.0,0.00747,0.007627,0.007627,0.0,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ E ⎠⎝   A,C   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"10000","11111","01110","11111",0.4375,0.003456,0.003659,0.003659,0.0,0.008,0.0,"⎛ D ⎞⎛   B,C   ⎞\n⎝ C ⎠⎝ A,B,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"10000","11111","01110","01110",0.0,0.012992,0.013263,0.013263,0.0,0.059,0.0,"⎛ D ⎞⎛  B,C  ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"10000","11111","01110","01010",0.0,0.003599,0.003819,0.003819,0.0,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"10000","11111","01110","10101",0.0,0.006676,0.007004,0.007004,0.0,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ E ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"10000","11111","01010","11111",0.0,0.007212,0.007449,0.007449,0.0,0.0,0.0,"⎛ ∅ ⎞⎛   B,D   ⎞\n⎝ A ⎠⎝ B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"10000","11111","01010","01110",0.0,0.007639,0.007749,0.007749,0.0,0.0,0.0,"⎛ D ⎞⎛   B   ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
